Assessment Name,Assessment_url,Description,Category,Test Type
SVAR - Spoken English (Indian Accent) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,"An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",,"Entry-Level,"
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.",,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",,"Entry-Level,"
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",,"Director, Executive, Manager, Mid-Professional,"
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.",,"Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive,"
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential. It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.",,"Director, Executive, Manager, Mid-Professional, Professional Individual Contributor,"
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles. Belbins team types: individual preferred role when working in ateam. Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",,"Director, Executive, Manager, Mid-Professional,"
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,,
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,"The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and predict author responses. Sample tasks for jobs that may require verbal ability include, but are not limited to: working with reports, correspondence, instructions, and research information. The Verbal Ability test, due to its adaptive nature, is appropriate for all job levels and roles.",,"General Population, Graduate, Executive, Director, Entry-Level, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager,"
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,,"Professional Individual Contributor, Graduate, Manager, Mid-Professional,"
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management.",,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",,"Entry-Level,"
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.",,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",,"Entry-Level,"
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",,"Mid-Professional, Professional Individual Contributor,"
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,"The Written English test measures knowledge of US English grammar and English reading comprehension. It is designed for those with English as a second language and covers the following topics: Articles, Comparisons, Conjunctions, General Questions, Misused Words, Nouns, Parallel Structure, Prepositions, Pronouns, Specific Questions, and Verbs.",,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,"
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.",,"Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive,"
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,"Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links.",,"Graduate, Mid-Professional, Professional Individual Contributor,"
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,"
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",,"General Population, Mid-Professional, Professional Individual Contributor,"
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,,"Mid-Professional, Professional Individual Contributor,"
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,,"Mid-Professional, Professional Individual Contributor,"
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,,"Mid-Professional, Professional Individual Contributor,"
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,"Multi-choice test that measures the knowledge of Selenium IDE, Selenium RC, Selenium grid, web driver, test design considerations, user extensions, frameworks and object repository.",,"Mid-Professional, Professional Individual Contributor,"
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,"Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple tables.",,"Mid-Professional, Professional Individual Contributor,"
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",,"Mid-Professional, Professional Individual Contributor,"
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports.",,"Mid-Professional, Professional Individual Contributor,"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",,"Entry-Level,"
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,"The next-generation Verify Numerical Ability Test provides a replacement for the existing Numerical Reasoning test in our Verify range of ability tests and the Global Cognitive Index – Adaptive Quantitative test, and measures the ability to: • Derive the numerical problem from a written problem • Calculate the answer to numerical equations • Work with numerical data in a realistic workplace context The test is 20 minutes long, has 16 items and is designed to provide an indication of how an individual will perform when asked to work with numerical information or statistical details.",,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,"This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus.",,"Mid-Professional, Professional Individual Contributor,"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",,"Entry-Level,"
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,"Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner. This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant.
Report Language Availability: English (USA)",,"General Population, Entry-Level,"
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",,"Entry-Level,"
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,"The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Inductive Reasoning. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.",,"Manager,"
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.",,"Entry-Level,"
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,,"Professional Individual Contributor, Graduate, Manager, Mid-Professional,"
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,"Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,"The Verify Interactive Numerical Calculation test measures a candidate’s ability to work with numbers and use appropriate mathematics in different situations. The Numerical Ability test requires candidates to understand order of operations, perform numerical calculations, and identify errors in calculations. The Numerical Calculation test, though it is adaptive, is ideal for entry-level jobs that require completing simple numerical calculations quickly and accurately.",,"Entry-Level,"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",,"Entry-Level,"
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,"The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and predict author responses. Sample tasks for jobs that may require verbal ability include, but are not limited to: working with reports, correspondence, instructions, and research information. The Verbal Ability test, due to its adaptive nature, is appropriate for all job levels and roles.",,"General Population, Graduate, Executive, Director, Entry-Level, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager,"
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.",,"Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive,"
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",,"General Population, Mid-Professional, Professional Individual Contributor,"
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,"Multi-choice test that measures the knowledge of SSAS database, querying multidimensional analysis solutions, cube hierarchies, measures, dimensions, power BI, DAX, MDX, tabular model data access and security.",,"Mid-Professional, Professional Individual Contributor,"
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,"Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple tables.",,"Mid-Professional, Professional Individual Contributor,"
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",,"Mid-Professional, Professional Individual Contributor,"
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library.",,"Mid-Professional, Professional Individual Contributor,"
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,"Multi-choice test that measures the knowledge of how to use Tableau to prepare tables, create visualizations, perform calculations, apply filters and carry out forecasting.",,"Mid-Professional, Professional Individual Contributor,"
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,"The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.",,"Entry-Level,"
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks.",,"Entry-Level,"
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,"Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA).",,"Mid-Professional, Professional Individual Contributor,"
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",,"General Population, Mid-Professional, Professional Individual Contributor,"
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.",,"Mid-Professional, Professional Individual Contributor,"
